2018-04-28 16:14:18,936 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:14:18,940 INFO  [stdout] (default task-3)     select
2018-04-28 16:14:18,940 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:14:18,940 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:14:18,941 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:14:18,941 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:14:18,941 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:14:18,941 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:14:18,942 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:14:18,942 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:14:18,942 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:14:18,942 INFO  [stdout] (default task-3)     from
2018-04-28 16:14:18,942 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:14:18,943 INFO  [stdout] (default task-3)     where
2018-04-28 16:14:18,943 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:16:46,383 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:16:46,385 INFO  [stdout] (default task-3)     select
2018-04-28 16:16:46,386 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:16:46,386 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:16:46,386 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:16:46,387 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:16:46,387 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:16:46,387 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:16:46,387 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:16:46,388 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:16:46,388 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:16:46,388 INFO  [stdout] (default task-3)     from
2018-04-28 16:16:46,388 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:16:46,389 INFO  [stdout] (default task-3)     where
2018-04-28 16:16:46,389 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:17:03,589 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:17:03,589 INFO  [stdout] (default task-3)     select
2018-04-28 16:17:03,593 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:17:03,593 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:17:03,593 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:17:03,594 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:17:03,594 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:17:03,594 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:17:03,594 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:17:03,594 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:17:03,595 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:17:03,595 INFO  [stdout] (default task-3)     from
2018-04-28 16:17:03,595 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:17:03,595 INFO  [stdout] (default task-3)     where
2018-04-28 16:17:03,595 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:17:10,963 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:17:10,963 INFO  [stdout] (default task-3)     select
2018-04-28 16:17:10,963 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:17:10,964 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:17:10,965 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:17:10,965 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:17:10,965 INFO  [stdout] (default task-3)     from
2018-04-28 16:17:10,965 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:17:10,965 INFO  [stdout] (default task-3)     where
2018-04-28 16:17:10,966 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:17:31,136 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:17:31,137 INFO  [stdout] (default task-3)     select
2018-04-28 16:17:31,138 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:17:31,138 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:17:31,138 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:17:31,138 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:17:31,138 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:17:31,139 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:17:31,139 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:17:31,139 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:17:31,139 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:17:31,143 INFO  [stdout] (default task-3)     from
2018-04-28 16:17:31,143 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:17:31,144 INFO  [stdout] (default task-3)     where
2018-04-28 16:17:31,144 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:19:24,389 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:19:24,390 INFO  [stdout] (default task-3)     select
2018-04-28 16:19:24,390 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:19:24,390 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:19:24,394 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:19:24,394 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:19:24,394 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:19:24,394 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)     from
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:19:24,395 INFO  [stdout] (default task-3)     where
2018-04-28 16:19:24,396 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:19:28,181 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:19:28,181 INFO  [stdout] (default task-3)     select
2018-04-28 16:19:28,181 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:19:28,181 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:19:28,181 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:19:28,182 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:19:28,182 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:19:28,182 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:19:28,183 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:19:28,183 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:19:28,183 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:19:28,183 INFO  [stdout] (default task-3)     from
2018-04-28 16:19:28,184 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:19:28,184 INFO  [stdout] (default task-3)     where
2018-04-28 16:19:28,184 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:19:51,120 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:19:51,120 INFO  [stdout] (default task-3)     select
2018-04-28 16:19:51,120 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:19:51,120 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:19:51,121 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:19:51,122 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:19:51,122 INFO  [stdout] (default task-3)     from
2018-04-28 16:19:51,122 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:19:51,122 INFO  [stdout] (default task-3)     where
2018-04-28 16:19:51,122 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:20:00,569 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:20:00,569 INFO  [stdout] (default task-3)     select
2018-04-28 16:20:00,570 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
2018-04-28 16:20:00,570 INFO  [stdout] (default task-3)         license0_.created_at as created_2_8_,
2018-04-28 16:20:00,570 INFO  [stdout] (default task-3)         license0_.updated_at as updated_3_8_,
2018-04-28 16:20:00,570 INFO  [stdout] (default task-3)         license0_.address_id as address_7_8_,
2018-04-28 16:20:00,570 INFO  [stdout] (default task-3)         license0_.category_id as category8_8_,
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)         license0_.serial_number as serial_n4_8_,
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)         license0_.shelf_life as shelf_li5_8_,
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)         license0_.status as status6_8_,
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)     from
2018-04-28 16:20:00,571 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:20:00,572 INFO  [stdout] (default task-3)     where
2018-04-28 16:20:00,572 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:20:05,212 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:20:05,213 INFO  [stdout] (default task-3)     select
2018-04-28 16:20:05,213 INFO  [stdout] (default task-3)         license0_.id as id1_8_,
